Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Craig Kimbrel,Red Sox,4,2,2.6,0,65,33,65,42,19,6,101,24,1.02,13.96,3.32,2.45,1.5,1.7,45.3,6655
Kenley Jansen,Dodgers,4,2,2.75,0,65,38,65,46,20,7,91,15,0.95,12.59,2.1,2.6,1.4,1.3,39.2,3096
Andrew Miller,Indians,4,2,2.7,0,65,13,65,47,19,6,91,21,1.04,12.66,2.88,2.66,1.4,1.5,199.9,6785
Clayton Kershaw,Dodgers,16,8,2.76,32,32,0,209,174,64,21,240,39,1.02,10.34,1.68,2.81,6.3,6.2,6,2036
Noah Syndergaard,Mets,13,9,3.13,31,31,0,182,153,63,18,220,46,1.09,10.84,2.27,2.88,5.4,4.3,34.8,11762
Dellin Betances,Yankees,3,2,2.93,0,55,2,55,37,18,5,82,26,1.15,13.37,4.3,2.93,1.1,1,276.3,6216
Aroldis Chapman,Yankees,4,2,2.83,0,65,29,65,45,20,7,95,27,1.11,13.19,3.78,2.93,1.3,1.4,61.5,10233
Felipe Rivero,Pirates,4,3,2.91,0,65,31,65,52,21,5,80,23,1.16,11.12,3.23,2.98,1.1,1.2,95.2,12076
Chris Sale,Red Sox,15,7,3.18,29,29,0,192,156,68,23,242,42,1.03,11.34,1.98,3.03,5.4,5.6,12.4,10603
Ken Giles,Astros,4,3,3.2,0,65,33,65,50,23,7,86,24,1.15,11.97,3.36,3.1,1.1,1,93.3,12910
Corey Knebel,Brewers,3,3,3.21,0,65,30,65,48,23,7,93,29,1.19,12.93,4.08,3.11,1.1,1.1,61.4,15010
Trevor Rosenthal,Cardinals,0,0,3.1,0,1,0,1,1,0,0,1,0,1.22,11.76,4.08,3.16,0,0.1,615.1,10745
Corey Kluber,Indians,14,8,3.27,29,29,0,194,166,71,23,224,45,1.09,10.41,2.08,3.18,5.2,5.3,12.9,2429
Ryan Madson,Nationals,4,3,3.26,0,65,14,65,58,24,6,70,19,1.18,9.65,2.57,3.21,1,0.9,446.7,1852
Edwin Diaz,Mariners,4,3,3.19,0,65,32,65,50,23,7,84,24,1.13,11.61,3.29,3.22,1,1,90.6,14710
Chad Green,Yankees,3,2,3.22,0,45,0,45,36,16,6,56,13,1.1,11.28,2.65,3.23,0.8,0.8,267.4,15552
A.J. Minter,Braves,1,0,3.17,0,10,0,10,8,4,1,13,4,1.21,11.87,3.93,3.25,0.1,0.1,459.3,18655
Zach Britton,Orioles,2,2,3.07,0,40,11,40,37,14,3,40,15,1.3,9.03,3.48,3.27,0.7,0.7,220.3,3240
Walker Buehler,Dodgers,5,3,3.18,8,33,0,71,57,25,7,88,29,1.21,11.08,3.73,3.28,1.4,1.3,368.6,19374
Max Scherzer,Nationals,15,9,3.39,32,32,0,207,170,78,27,257,56,1.09,11.15,2.41,3.3,5,5,10.3,3137
Justin Wilson,Cubs,3,2,3.16,0,55,2,55,42,19,5,70,24,1.22,11.4,4.01,3.33,0.8,0.9,574.1,4301
Stephen Strasburg,Nationals,14,8,3.44,31,31,0,188,165,72,22,216,52,1.15,10.3,2.46,3.33,4.5,4.3,23.2,10131
Brad Hand,Padres,3,3,3.35,0,65,29,65,55,24,7,76,23,1.2,10.58,3.13,3.36,0.8,0.8,117.4,9111
Michael Feliz,Pirates,3,3,3.42,0,55,0,55,46,21,6,65,21,1.22,10.7,3.37,3.38,0.7,0.6,672.7,11903
Anthony Swarzak,Mets,3,3,3.38,0,65,2,65,57,24,7,72,19,1.18,9.9,2.68,3.39,0.9,0.7,445.6,7466
Mark Melancon,Giants,3,3,3.33,0,65,22,65,62,24,5,58,18,1.23,8.01,2.48,3.39,0.7,0.7,170.3,4264
Sean Doolittle,Nationals,4,3,3.36,0,65,22,65,53,24,8,78,19,1.11,10.83,2.6,3.4,0.8,0.9,125.5,1581
Jacob deGrom,Mets,13,10,3.47,32,32,0,203,180,78,24,226,57,1.16,10,2.51,3.4,4.7,4,33.8,10954
Archie Bradley,Diamondbacks,3,3,3.48,0,65,11,65,57,25,7,74,24,1.24,10.18,3.3,3.42,0.9,0.9,183.6,12918
Scott Alexander,Dodgers,4,3,3.13,0,65,0,65,60,23,4,61,25,1.31,8.39,3.45,3.43,0.8,0.9,612.2,10591
Carlos Carrasco,Indians,13,8,3.48,29,29,0,178,161,69,21,191,45,1.15,9.63,2.27,3.45,4.2,4.3,34.9,6632
Pedro Strop,Cubs,3,2,3.31,0,45,0,45,37,17,4,52,19,1.25,10.35,3.78,3.47,0.6,0.6,599.6,4070
Roberto Osuna,Blue Jays,4,3,3.56,0,65,32,65,55,26,8,76,18,1.13,10.46,2.52,3.48,0.9,0.8,80,13764
Raisel Iglesias,Reds,3,3,3.49,0,65,32,65,55,25,8,78,22,1.18,10.79,3.04,3.48,0.9,0.8,99.1,17130
Chris Archer,Rays,13,10,3.47,32,32,0,196,168,76,24,222,61,1.17,10.17,2.81,3.48,4.3,4.4,51.5,6345
Drew Steckenrider,Marlins,3,3,3.42,0,55,0,55,46,21,5,64,25,1.28,10.5,4.05,3.49,0.6,0.6,364.5,18806
James Hoyt,Astros,2,1,3.58,0,30,0,30,26,12,3,36,11,1.22,10.8,3.31,3.49,0.4,0.3,722.3,14605
Luke Gregerson,Cardinals,3,3,3.54,0,65,19,65,60,26,6,65,21,1.24,8.93,2.88,3.5,0.8,0.6,447.2,4090
Blake Parker,Angels,4,3,3.4,0,65,11,65,54,25,8,74,22,1.17,10.19,3.05,3.54,0.7,0.8,205.5,5224
James Paxton,Mariners,12,9,3.53,29,29,0,176,161,69,20,178,51,1.21,9.13,2.64,3.54,3.8,3.7,78.3,11828
Shohei Ohtani,Angels,11,7,3.49,24,24,0,148,119,57,18,183,59,1.2,11.09,3.57,3.56,3.1,3.3,74.3,19755
Danny Salazar,Indians,8,6,3.51,16,46,0,120,99,47,15,148,45,1.2,11.04,3.36,3.56,2.3,2.5,176.6,5867
Brett Cecil,Cardinals,3,3,3.5,0,65,15,65,59,25,7,66,21,1.23,9.16,2.89,3.56,0.7,0.6,693.3,2660
Jose Quintana,Cubs,14,9,3.46,32,32,0,196,178,75,23,199,55,1.19,9.13,2.51,3.57,4.3,4.3,77.4,11423
Carl Edwards Jr.,Cubs,3,2,3.37,0,55,0,55,41,21,5,73,31,1.3,11.9,5.01,3.57,0.6,0.7,335,13607
Nate Jones,White Sox,3,3,3.52,0,55,0,55,47,22,7,64,20,1.22,10.55,3.3,3.58,0.7,0.7,421,4696
Will Smith,Giants,2,1,3.42,0,30,0,30,25,11,3,34,13,1.27,10.31,3.89,3.58,0.3,0.4,999,8048
Josh Ravin,Braves,2,1,3.53,0,30,0,30,24,12,3,38,15,1.28,11.49,4.39,3.58,0.3,0.3,999,2951
Kirby Yates,Padres,3,3,3.59,0,55,2,55,44,22,7,69,22,1.2,11.37,3.53,3.58,0.6,0.4,454.5,9073
Andrew Chafin,Diamondbacks,3,2,3.5,0,55,0,55,49,21,5,59,23,1.32,9.68,3.81,3.59,0.6,0.7,999,12988
Joe Kelly,Red Sox,3,2,3.6,0,55,0,55,49,22,6,59,21,1.28,9.65,3.4,3.59,0.6,0.7,667.4,9761
Luis Severino,Yankees,14,8,3.55,31,31,0,188,164,74,24,212,58,1.18,10.14,2.75,3.6,4.4,4.3,31.9,15890
Wilmer Font,Dodgers,2,1,3.56,3,13,0,28,24,11,4,33,8,1.13,10.55,2.66,3.6,0.5,0.4,685.3,5257
Tommy Kahnle,Yankees,3,2,3.53,0,55,2,55,44,22,6,69,24,1.25,11.29,3.99,3.61,0.7,0.7,447,11384
Tommy Hunter,Phillies,3,2,3.6,0,55,2,55,50,22,7,58,16,1.21,9.43,2.68,3.61,0.7,0.6,597.6,1157
Robbie Ray,Diamondbacks,12,9,3.63,29,29,0,168,139,68,21,208,69,1.24,11.16,3.7,3.62,3.6,3.8,43.7,11486
Radhames Liz,Pirates,0,0,3.61,0,1,0,1,1,0,0,1,0,1.26,10.07,3.5,3.62,0,0.1,999,5843
Aaron Nola,Phillies,12,9,3.73,29,29,0,180,167,75,22,187,51,1.21,9.35,2.56,3.63,4,3.4,69.1,16149
Keone Kela,Rangers,3,2,3.68,0,55,0,55,46,23,7,68,23,1.25,11.16,3.79,3.64,0.6,0.7,407.9,14696
Drew Smyly,Cubs,1,0,3.52,0,10,0,10,9,4,1,11,3,1.12,10.17,2.43,3.65,0.1,0.1,999,11760
David Robertson,Yankees,4,3,3.64,0,65,4,65,55,26,8,78,25,1.22,10.83,3.44,3.65,0.8,0.8,263,8241
Brandon Morrow,Cubs,4,3,3.55,0,65,36,65,58,26,8,68,21,1.22,9.44,2.91,3.65,0.7,0.7,251.4,9346
Lance McCullers,Astros,10,6,3.68,24,24,0,137,124,56,14,145,53,1.3,9.58,3.52,3.65,2.9,2.6,157.3,14120
Rubby de la Rosa,Diamondbacks,0,0,3.74,0,1,0,1,1,0,0,1,0,1.23,9.89,2.93,3.66,0,0.1,641,3862
Ross Stripling,Dodgers,3,2,3.6,0,55,0,55,52,22,6,53,16,1.23,8.63,2.58,3.66,0.5,0.4,620.2,13273
Nik Turley,Pirates,2,2,3.53,0,40,0,40,34,16,5,46,16,1.25,10.43,3.64,3.66,0.4,0.4,999,5530
Jeurys Familia,Mets,3,3,3.59,0,65,33,65,60,26,6,65,27,1.34,9.05,3.77,3.67,0.6,0.4,160.6,5114
Jameson Taillon,Pirates,11,11,3.86,32,32,0,189,187,81,21,175,52,1.27,8.32,2.48,3.67,3.7,3.1,196,11674
Arodys Vizcaino,Braves,3,3,3.68,0,65,23,65,55,27,7,76,28,1.29,10.57,3.9,3.68,0.6,0.6,147.3,5498
Carlos Martinez,Cardinals,13,10,3.71,32,32,0,202,190,83,21,203,72,1.3,9.03,3.22,3.68,4,3.6,54.8,11682
Cody Allen,Indians,4,3,3.65,0,65,22,65,54,26,8,78,25,1.21,10.78,3.4,3.68,0.7,0.8,102.1,12183
Liam Hendriks,Athletics,3,3,3.78,0,55,0,55,50,23,7,58,18,1.23,9.44,2.89,3.69,0.5,0.5,657.1,3548
Blake Treinen,Athletics,3,3,3.65,0,65,10,65,61,26,6,63,26,1.35,8.72,3.63,3.69,0.6,0.6,194.8,12572
Yu Darvish,,12,9,3.82,29,29,0,179,158,76,24,203,57,1.2,10.18,2.84,3.7,3.6,3.4,49.6,13074
Enny Romero,Nationals,2,2,3.6,0,45,0,45,38,18,5,52,19,1.28,10.46,3.83,3.7,0.4,0.4,630,4001
Angel Sanchez,Pirates,0,0,3.74,0,1,0,1,1,0,0,1,0,1.26,8.65,2.73,3.7,0,0.1,999,11776
Hector Rondon,Astros,2,2,3.78,0,45,0,45,41,19,6,49,15,1.22,9.87,2.91,3.7,0.5,0.4,599.3,2391
Alex Wood,Dodgers,10,7,3.55,24,24,0,140,132,55,16,135,42,1.24,8.64,2.66,3.71,2.7,2.6,95.3,13781
Jeff Samardzija,Giants,13,11,3.75,32,32,0,202,195,84,25,184,45,1.19,8.19,1.99,3.71,3.5,3.3,142.5,3254
Francisco Liriano,,1,0,3.63,0,10,0,10,9,4,1,11,4,1.3,10.11,3.8,3.72,0.1,0.1,634.1,3201
Austin Pruitt,Rays,3,3,3.68,0,55,0,55,53,22,7,49,12,1.19,8.07,1.98,3.73,0.5,0.6,652.3,15290
Grant Dayton,Braves,1,1,3.65,0,15,0,15,13,6,2,18,6,1.22,10.67,3.44,3.74,0.1,0.1,749,11203
Tyler Lyons,Cardinals,3,2,3.71,0,55,4,55,50,23,7,57,16,1.21,9.36,2.66,3.75,0.5,0.4,428.1,11334
Dominic Leone,Cardinals,2,2,3.7,0,45,0,45,40,19,5,48,18,1.28,9.65,3.56,3.75,0.4,0.4,603.1,13763
D.J. Snelten,Giants,1,0,3.43,0,10,0,10,9,4,1,9,4,1.34,7.83,3.6,3.75,0.1,0.1,999,sa549813
Zack Greinke,Diamondbacks,13,10,3.8,32,32,0,203,195,86,27,195,51,1.21,8.67,2.28,3.76,4,4.2,43,1943
Jacob Barnes,Brewers,3,3,3.82,0,65,3,65,59,28,7,72,27,1.32,9.97,3.73,3.76,0.7,0.6,614.2,12323
Kameron Loe,Braves,0,0,3.74,0,1,0,1,1,0,0,1,0,1.32,7.72,2.87,3.76,0,0.1,999,4422
Kelvin Herrera,Royals,3,3,3.82,0,65,31,65,60,28,7,65,22,1.27,9.05,3.1,3.76,0.6,0.6,212.2,6033
Frankie Montas,Athletics,1,1,3.75,0,25,0,25,22,10,3,28,10,1.28,10.22,3.71,3.77,0.2,0.3,620,14309
Will Harris,Astros,3,2,3.85,0,55,0,55,51,24,7,56,17,1.25,9.17,2.84,3.77,0.5,0.3,549.4,3192
Trevor Hildenberger,Twins,3,2,3.81,0,55,2,55,54,23,6,50,16,1.27,8.2,2.66,3.78,0.5,0.6,380.3,17002
Erik Cordier,Marlins,0,0,3.71,0,1,0,1,1,0,0,1,1,1.36,10.58,4.7,3.78,0,0.1,999,4086
Joe Smith,Astros,3,2,3.72,0,55,0,55,52,23,6,55,18,1.27,9,2.92,3.78,0.5,0.4,634,3281
Rex Brothers,Braves,2,2,3.59,0,45,0,45,36,18,5,57,26,1.37,11.38,5.17,3.78,0.4,0.4,725.5,9794
David Price,Red Sox,13,8,3.81,29,29,0,180,169,76,24,181,47,1.2,9.03,2.34,3.79,3.3,3.8,130.4,3184
Bryan Shaw,Rockies,3,3,3.92,0,65,5,65,63,28,7,66,24,1.34,9.08,3.3,3.79,0.8,0.8,529.7,8110
Madison Bumgarner,Giants,13,11,3.68,32,32,0,207,193,85,27,198,50,1.17,8.6,2.17,3.79,3.4,3.6,26.3,5524
Wade Davis,Rockies,3,3,3.85,0,65,29,65,58,28,8,74,27,1.3,10.31,3.71,3.79,0.8,0.9,97.7,7441
Rich Hill,Dodgers,10,7,3.64,24,24,0,141,120,57,18,159,51,1.21,10.11,3.25,3.8,2.5,2.5,118.4,4806
Aaron Barrett,Nationals,0,0,3.77,0,1,0,1,1,0,0,1,0,1.3,9.62,3.59,3.8,0,0.1,999,11243
Nathan Eovaldi,Rays,1,1,3.67,2,12,0,19,18,8,2,18,5,1.24,8.29,2.55,3.8,0.2,0.2,584.2,9132
Josh Fields,Dodgers,2,2,3.66,0,35,0,35,30,14,5,39,11,1.18,10.04,2.95,3.8,0.3,0.3,664.5,5070
Chaz Roe,Rays,2,2,3.61,0,40,0,40,35,16,4,42,16,1.29,9.37,3.71,3.8,0.3,0.4,694.5,9866
James Pazos,Mariners,2,2,3.61,0,45,0,45,38,18,5,51,21,1.32,10.17,4.2,3.8,0.4,0.4,626.5,13323
Kyle Barraclough,Marlins,3,3,3.71,0,65,11,65,55,27,6,75,36,1.39,10.39,4.97,3.8,0.5,0.5,311.5,13713
Jay Jackson,Padres,0,0,3.8,0,1,0,1,1,0,0,1,0,1.27,9.67,3.27,3.81,0,0.1,999,7432
Carson Smith,Red Sox,3,3,3.82,0,65,4,65,61,28,6,63,27,1.35,8.78,3.73,3.81,0.5,0.7,597.9,13172
Sam Dyson,Giants,3,3,3.66,0,65,16,65,64,26,5,52,26,1.39,7.23,3.61,3.81,0.4,0.5,524.3,11710
Jared Miller,Diamondbacks,1,1,3.65,0,25,0,25,22,10,3,28,12,1.35,9.91,4.22,3.81,0.2,0.3,999,sa827467
Josh Smoker,Mets,2,2,3.66,0,35,0,35,31,14,4,39,15,1.29,10.12,3.75,3.81,0.3,0.3,999,10285
Dallas Keuchel,Astros,14,9,3.75,32,32,0,202,203,84,21,169,62,1.31,7.55,2.76,3.82,3.8,3.5,79.1,9434
Garrett Richards,Angels,10,7,3.68,24,24,0,142,133,58,15,130,50,1.29,8.27,3.14,3.82,2.6,2.6,192,9784
Boone Logan,Indians,2,2,3.67,0,35,0,35,30,14,4,41,15,1.28,10.54,3.86,3.83,0.3,0.5,999,5525
David Phelps,Mariners,3,3,3.75,0,55,0,55,50,23,7,59,20,1.27,9.63,3.33,3.83,0.4,0.4,655.8,6316
Roberto Gomez,Giants,1,1,3.67,0,25,0,25,23,10,3,24,10,1.29,8.72,3.48,3.83,0.1,0.2,999,12963
Michael Pineda,Twins,1,0,3.95,2,2,0,9,9,4,1,9,2,1.23,8.5,2.19,3.83,0.2,0.2,705,5372
Jose Contreras,Pirates,0,0,3.87,0,1,0,1,1,0,0,1,0,1.27,8.48,2.71,3.83,0,0.1,999,1660
Juan Nicasio,Mariners,3,3,3.76,0,65,4,65,59,27,8,69,23,1.26,9.59,3.18,3.83,0.5,0.6,418.6,7731
Luke Weaver,Cardinals,10,8,3.79,26,26,0,145,135,61,19,144,42,1.23,8.98,2.65,3.83,2.6,2.5,109,16918
Josh Hader,Brewers,3,3,3.73,0,55,1,55,44,23,7,71,26,1.28,11.59,4.2,3.83,0.5,0.5,301.6,14212
Chris Devenski,Astros,4,3,3.83,0,65,0,65,57,28,9,73,20,1.19,10.05,2.82,3.83,0.6,0.5,272.6,12763
Eric Yardley,Padres,0,0,3.76,0,1,0,1,1,0,0,1,0,1.34,7.32,2.99,3.84,0,0.1,999,sa744476
Alex Reyes,Cardinals,7,5,3.73,16,26,0,102,84,42,12,121,50,1.31,10.67,4.36,3.84,1.7,1.7,264.4,15015
Jimmie Sherfy,Diamondbacks,3,3,3.81,0,55,0,55,48,23,7,62,23,1.28,10.17,3.7,3.84,0.5,0.6,552.2,15118
John Holdzkom,Pirates,0,0,3.79,0,1,0,1,1,0,0,1,0,1.35,9.72,4.16,3.84,0,0.1,999,9392
Koda Glover,Nationals,3,2,3.83,0,55,2,55,51,23,7,56,19,1.28,9.12,3.13,3.84,0.4,0.5,622.4,17695
Yonny Chirinos,Rays,1,1,3.7,0,15,0,15,15,6,2,13,3,1.17,7.75,1.78,3.84,0.1,0.1,717.6,sa735855
Charlie Morton,Astros,9,6,3.9,23,23,0,130,121,56,15,132,47,1.3,9.18,3.23,3.84,2.4,2.2,175.3,4676
Marcus Stroman,Blue Jays,13,10,3.95,32,32,0,200,206,88,20,164,60,1.33,7.37,2.72,3.85,3.8,3.5,119.1,13431
Cam Bedrosian,Angels,3,3,3.65,0,65,25,65,56,26,7,69,27,1.28,9.54,3.71,3.85,0.5,0.6,325.6,13360
Jon Edwards,Padres,0,0,3.76,0,1,0,1,1,0,0,1,0,1.31,10.67,4.25,3.85,0,0.1,999,1483
Greg Holland,,1,0,3.77,0,10,0,10,9,4,1,11,4,1.3,10.11,3.94,3.85,0.1,0,122.8,7196
Josh Lowey,,0,0,3.82,0,0,0,1,1,0,0,1,0,1.3,8.89,3.34,3.86,0,0,999,sa560990
Mike Kickham,Giants,0,0,3.66,0,1,0,1,1,0,0,1,0,1.28,7.48,2.72,3.87,0,0.1,999,11618
Joe Musgrove,Pirates,10,9,3.93,28,28,0,157,159,69,19,136,40,1.26,7.8,2.29,3.87,2.7,2.4,440,12970
Alex Colome,Rays,3,3,3.71,0,65,34,65,60,27,8,63,22,1.26,8.74,3.01,3.87,0.5,0.6,111.8,6661
Luiz Gohara,Braves,8,8,3.72,23,23,0,130,113,54,15,141,57,1.32,9.81,3.97,3.87,2.3,2.5,290.4,15166
Chris Rusin,Rockies,2,2,3.94,0,40,0,40,42,18,5,35,12,1.33,7.96,2.59,3.88,0.4,0.5,643.1,9895
Dan Otero,Indians,2,2,3.81,0,45,0,45,48,19,5,32,11,1.31,6.34,2.19,3.89,0.4,0.4,999,7385
Trey Wingenter,Padres,0,0,3.76,0,1,0,1,1,0,0,1,0,1.35,9.63,4.2,3.89,0,0.1,999,sa659030
Tyler Glasnow,Pirates,5,5,3.92,15,15,0,78,66,34,9,90,39,1.36,10.46,4.57,3.9,1.3,1.2,371.4,14374
Justin Verlander,Astros,14,9,3.95,32,32,0,204,180,89,30,229,67,1.21,10.13,2.94,3.9,3.7,3.3,35,8700
Tyler Duffey,Twins,2,2,3.94,0,40,0,40,40,18,5,37,10,1.25,8.22,2.32,3.9,0.3,0.3,672.3,13758
Phil Maton,Padres,3,3,3.83,0,65,4,65,58,28,8,70,24,1.27,9.71,3.38,3.9,0.4,0.3,604.3,18064
Daniel Winkler,Braves,3,3,3.9,0,55,0,55,49,24,7,60,23,1.32,9.76,3.76,3.91,0.4,0.3,629.4,12237
Jenrry Mejia,Mets,0,0,3.88,0,1,0,1,1,0,0,1,0,1.33,9.12,3.6,3.91,0,0.1,999,8476
Dillon Maples,Cubs,2,1,3.59,0,30,0,30,25,12,3,35,18,1.42,10.39,5.37,3.91,0.2,0.3,999,14672
Clay Holmes,Pirates,0,0,3.81,0,10,0,10,10,4,1,9,5,1.43,8.36,4.25,3.91,0.1,0,999,sa598167
Jon Lester,Cubs,13,10,3.89,32,32,0,195,184,84,25,187,60,1.25,8.64,2.78,3.91,3.5,3.3,123.2,4930
Alec Mills,Cubs,1,1,3.78,0,25,0,25,24,11,3,23,7,1.23,8.42,2.59,3.91,0.2,0.2,999,13834
Bud Norris,,1,0,3.9,0,10,0,10,9,4,1,10,4,1.29,9.23,3.23,3.92,0.1,0,654.9,9492
Fabio Castillo,Dodgers,0,0,3.78,0,1,0,1,1,0,0,1,0,1.26,9.46,3.33,3.92,0,0.1,999,2826
Seth Frankoff,Cubs,0,0,3.78,0,1,0,1,1,0,0,1,0,1.29,9,3.42,3.92,0,0.1,999,11346
Reyes Moronta,Giants,1,1,3.71,0,20,0,20,17,8,2,22,10,1.33,9.98,4.51,3.93,0.1,0.1,999,14966
Zack Weiss,Reds,0,0,3.83,0,10,0,10,9,4,1,11,4,1.27,10.12,3.58,3.93,0.1,0,999,sa548466
Madison Younginer,Braves,0,0,3.82,0,1,0,1,1,0,0,1,0,1.36,9.27,4.08,3.93,0,0.1,999,10636
Marcos Mateo,Padres,0,0,3.88,0,1,0,1,1,0,0,1,0,1.28,10,3.61,3.93,0,0.1,999,6869
Michael Wacha,Cardinals,11,9,3.97,29,29,0,167,163,74,20,155,55,1.3,8.36,2.97,3.93,2.8,2.4,241.7,14078
Jose Jose,Marlins,0,0,3.83,0,1,0,1,1,0,0,1,0,1.33,8.95,3.66,3.94,0,0.1,999,sa506778
Josh Lucas,Cardinals,1,1,3.88,0,25,0,25,24,11,3,23,9,1.31,8.34,3.17,3.94,0.2,0.1,999,11686
Pat Neshek,Phillies,3,3,3.92,0,65,12,65,60,28,10,68,17,1.18,9.41,2.32,3.94,0.6,0.5,524.4,4682
Hunter Strickland,Giants,3,3,3.8,0,55,2,55,51,23,6,52,21,1.3,8.51,3.42,3.94,0.2,0.3,609.4,7836
Kevin Shackelford,Reds,2,2,3.79,0,45,0,45,40,19,5,48,20,1.33,9.65,3.93,3.94,0.4,0.3,729,11012
Matt Albers,,1,1,3.94,0,15,0,15,15,7,2,14,5,1.32,8.29,3.1,3.95,0.1,0.1,633,4300
Jerry Blevins,Mets,2,2,3.79,0,45,0,45,39,19,6,50,19,1.3,10.02,3.82,3.95,0.3,0.3,657.3,7841
Tyler Webb,Brewers,2,2,3.89,0,40,0,40,37,17,5,43,15,1.31,9.61,3.45,3.95,0.3,0.3,999,14974
Jon Gray,Rockies,12,10,4.21,32,32,0,190,185,89,26,199,64,1.31,9.42,3.05,3.95,3.8,3.9,166.7,14916
Mychal Givens,Orioles,3,3,3.9,0,65,8,65,56,28,9,74,25,1.26,10.27,3.49,3.96,0.6,0.6,409.9,10430
Blake Wood,Angels,2,2,3.73,0,40,0,40,36,17,4,39,17,1.33,8.82,3.81,3.96,0.3,0.3,741,1345
Cory Gearrin,Giants,3,3,3.8,0,55,0,55,51,23,5,52,23,1.34,8.43,3.78,3.96,0.2,0.3,633.5,7947
Adrian Houser,Brewers,1,1,4.02,0,15,0,15,15,7,2,14,6,1.35,8.64,3.34,3.96,0.1,0.1,999,12718
Joakim Soria,White Sox,3,3,3.86,0,65,5,65,59,28,8,68,26,1.31,9.46,3.62,3.96,0.5,0.5,479.5,6941
Oliver Drake,Brewers,2,2,4,0,45,0,45,41,20,5,50,20,1.36,9.9,4.01,3.97,0.4,0.3,999,8823
Zach McAllister,Indians,2,2,3.95,0,35,0,35,32,15,5,37,13,1.27,9.47,3.27,3.97,0.3,0.3,702,2895
Matt Barnes,Red Sox,2,2,4.01,0,45,0,45,41,20,5,48,19,1.34,9.53,3.83,3.98,0.3,0.4,669.3,12863
Jose Alvarado,Rays,2,2,3.56,0,35,0,35,29,14,3,40,21,1.41,10.39,5.36,3.98,0.2,0.4,565,17780
Ryne Stanek,Rays,2,2,3.78,0,45,0,45,38,19,5,50,21,1.32,10.02,4.21,3.98,0.3,0.4,670.9,15947
Trevor May,Twins,1,1,4.02,0,15,0,15,14,7,2,16,5,1.25,9.49,2.95,3.98,0.1,0.1,660.1,6398
Trevor Cahill,,3,3,3.97,0,65,0,65,61,29,7,65,28,1.37,8.97,3.91,3.98,0.4,0.4,587.5,6249
Derek Law,Giants,2,2,3.86,0,40,0,40,38,17,4,36,14,1.31,8.06,3.26,3.99,0.2,0.2,722,13133
Jose Flores,Giants,0,0,3.86,0,0,0,1,1,0,0,1,0,1.34,7.58,3.31,3.99,0,0,999,sa503583
Josh Lueke,Rays,0,0,3.87,0,1,0,1,1,0,0,1,0,1.26,8.6,2.85,3.99,0,0.1,999,5722
Edgar Santana,Pirates,1,1,3.99,0,25,0,25,24,11,3,23,9,1.35,8.16,3.31,3.99,0.1,0.1,999,17355
Ryan Sherriff,Cardinals,2,1,3.82,0,30,0,30,29,13,3,26,12,1.37,7.8,3.49,3.99,0.2,0.2,999,12249
Zack Godley,Diamondbacks,7,6,4.05,19,19,0,113,109,51,13,108,44,1.35,8.64,3.47,4,1.9,1.9,133.5,14862
Luis Garcia,Phillies,3,3,3.87,0,55,0,55,52,24,6,53,25,1.4,8.75,4.13,4,0.4,0.3,624.8,6984
Craig Stammen,Padres,2,3,3.99,0,55,2,55,54,24,6,50,20,1.34,8.11,3.2,4,0.3,0.1,654.6,7274
Brent Honeywell,Rays,4,4,3.87,8,33,0,71,63,31,10,73,22,1.2,9.28,2.75,4,0.8,1,280.9,sa828706
Giovanny Gallegos,Yankees,1,1,3.94,0,25,0,25,22,11,4,28,9,1.23,10.18,3.13,4,0.2,0.2,999,14986
Steve Cishek,Cubs,3,3,3.89,0,65,2,65,60,28,8,64,26,1.32,8.9,3.56,4,0.4,0.4,526.4,6483
Johnny Cueto,Giants,11,10,3.87,29,29,0,179,175,77,21,151,51,1.26,7.58,2.55,4,2.5,2.6,153.2,6893
Dario Alvarez,Cubs,1,0,3.74,0,10,0,10,8,4,1,12,5,1.3,10.65,4.3,4.01,0.1,0.1,999,14239
Taylor Williams,Brewers,1,1,4.09,0,30,0,30,28,14,4,33,13,1.36,10.04,3.95,4.01,0.2,0.1,999,14899
Marc Rzepczynski,Mariners,2,2,3.73,0,40,0,40,38,17,3,37,19,1.43,8.38,4.35,4.01,0.2,0.3,999,6612
Sam Freeman,Braves,3,3,3.82,0,55,0,55,50,23,5,57,28,1.42,9.27,4.59,4.02,0.3,0.3,999,6832
Jesse Chavez,,1,0,3.98,0,10,0,10,10,4,1,10,3,1.26,8.73,2.62,4.02,0.1,0,743,5448
Cory Mazzoni,Cubs,1,0,3.9,0,10,0,10,9,4,1,10,4,1.3,9.12,3.45,4.02,0.1,0,999,12537
Jason Gurka,Angels,0,0,3.71,0,1,0,1,1,0,0,1,0,1.29,8.09,3.16,4.02,0,0.1,999,8007
Andrew Kittredge,Rays,3,3,3.84,0,55,0,55,50,23,7,54,19,1.26,8.8,3.17,4.02,0.3,0.5,672.2,12828
Ian Thomas,Dodgers,0,0,3.8,0,1,0,1,1,0,0,1,0,1.29,8.89,3.34,4.02,0,0.1,999,13881
Masahiro Tanaka,Yankees,12,9,3.98,29,29,0,176,172,78,27,169,40,1.21,8.61,2.06,4.02,3.3,3.1,108.1,15764
